epoch,number_of_actions,win
1,64,False
2,64,False
3,64,False
4,64,False
5,64,False
6,64,False
7,64,False
8,64,False
9,64,False
10,64,False
11,64,False
12,64,False
13,64,False
14,64,False
15,64,False
16,64,False
17,64,False
18,64,False
19,64,False
20,64,False
21,64,False
22,64,False
23,64,False
24,64,False
25,64,False
26,64,False
27,64,False
28,64,False
29,64,False
30,64,False
31,64,False
32,64,False
33,64,False
34,64,False
35,64,False
36,64,False
37,64,False
38,64,False
39,27,True
40,64,False
41,64,False
42,64,False
43,64,False
44,64,False
45,64,False
46,64,False
47,64,False
48,64,False
49,64,False
50,64,False
51,64,False
52,64,False
53,64,False
54,64,False
55,64,False
56,64,False
57,64,False
58,64,False
59,64,False
60,64,False
61,64,False
62,64,False
63,64,False
64,64,False
65,64,False
66,64,False
67,64,False
68,64,False
69,64,False
70,64,False
71,64,False
72,64,False
73,64,False
74,64,False
75,64,False
76,64,False
77,64,False
78,64,False
79,60,True
80,64,False
81,64,False
82,64,False
83,64,False
84,64,False
85,53,True
86,64,False
87,64,False
88,64,False
89,64,False
90,64,False
91,64,False
92,64,False
93,64,False
94,64,False
95,64,False
96,64,False
97,64,False
98,64,False
99,64,False
100,64,False
101,64,False
102,64,False
103,64,False
104,64,False
105,64,False
106,64,False
107,64,False
108,64,False
109,64,False
110,64,False
111,64,False
112,64,False
113,64,False
114,64,False
115,64,False
116,64,False
117,64,False
118,64,False
119,64,False
120,64,False
121,64,False
122,64,False
123,64,False
124,64,False
125,64,False
126,64,False
127,64,False
128,64,False
129,64,False
130,64,False
131,64,False
132,64,False
133,64,False
134,64,False
135,64,False
136,64,False
137,64,False
138,64,False
139,64,False
140,64,False
141,64,False
142,64,False
143,64,False
144,64,False
145,64,False
146,64,False
147,64,False
148,64,False
149,64,False
150,64,False
151,64,False
152,64,False
153,64,False
154,64,False
155,64,False
156,64,False
157,64,False
158,60,True
159,64,False
160,64,False
161,64,False
162,64,False
163,64,False
164,64,False
165,64,False
166,64,False
167,64,False
168,64,False
169,64,False
170,64,False
171,64,False
172,64,False
173,64,False
174,64,False
175,64,False
176,64,False
177,64,False
178,64,False
179,64,False
180,64,False
181,64,False
182,64,False
183,64,False
184,64,False
185,64,False
186,64,False
187,64,False
188,64,False
189,64,False
190,64,False
191,64,False
192,64,False
193,64,False
194,64,False
195,64,False
196,64,False
197,64,False
198,64,False
199,64,False
200,64,False
201,64,False
202,64,False
203,64,False
204,64,False
205,64,False
206,64,False
207,64,False
208,64,False
209,64,False
210,64,False
211,35,True
212,64,False
213,64,False
214,64,False
215,64,False
216,64,False
217,64,False
218,64,False
219,64,False
220,64,False
221,64,False
222,64,False
223,64,False
224,64,False
225,64,False
226,36,True
227,64,False
228,64,False
229,64,False
230,64,False
231,64,False
232,64,False
233,64,False
234,64,False
235,64,False
236,64,False
237,64,False
238,64,False
239,64,False
240,64,False
